DRINK,MOUSE,CAGE,Strain,Gen,Family,DOB,DOB,Sex,#,Litter,Notes,USE,12/12/2019,COAT,SQUAD,TX,Weight,D1T0,D1T120,D2TimeZero,D2T0,D2TimeTwo,D2T120,D2TimeFour,D2T240,D1ml,D2ml_02,D2ml_24,D2ml_all,D1gkg,D2gkg_02,D2gkg_24,D2gkg_all,BEC,Footslips,BeamBreaks,AtaxiaRatio,D1mlkg,D2mlkg_02,D2mlkg_24,D2mlkg_all
1,23.1,23,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,1,EtOH,26.5,3.55,4.25,1010,3.6,1210,4.15,1410,4.85,0.7,0.55,0.7,1.25,4.169886792,3.276339623,4.169886792,7.446226415,2.9378,180,486,0.37037037,26.41509434,20.75471698,26.41509434,47.16981132
2,2.1,2,HDID-1,S43.G47,518x,19246,9/3/2019,F,5,2,,Parallel Rod,100,aa,1,Water,21.8,3.5,3.9,1010,3.3,1210,3.5,1410,4.1,0.4,0.2,0.6,0.8,2.896513761,1.448256881,4.344770642,5.793027523,,38,410,0.092682927,18.34862385,9.174311927,27.52293578,36.69724771
3,6.1,6,HDID-1,S43.G47,517x,19250,9/7/2019,M,1,2,,Parallel Rod,96,aa,1,Water,24.3,3.8,4.15,1010,3.45,1210,3.6,1410,5.15,0.35,0.15,1.55,1.7,2.273703704,0.974444444,10.06925926,11.0437037,,30,494,0.060728745,14.40329218,6.172839506,63.78600823,69.95884774
4,35.4,35,HS/Npt,G97.V29,1532,19215,8/3/2019,M,3 (4),2,,Parallel Rod,131,aa,1,EtOH,29.1,3.2,3.3,1010,3.2,1210,3.2,1410,3.3,0.1,0,0.1,0.1,0.542474227,0,0.542474227,0.542474227,0,57,357,0.159663866,3.436426117,0,3.436426117,3.436426117
5,8.2,8,HDID-1,S43.G47,506,19252,9/9/2019,F,2,2,,Parallel Rod,94,aa,2,EtOH,22,3.2,3.2,1020,3.4,1220,3.4,1420,4,0,0,0.6,0.6,0,0,4.305272727,4.305272727,1.8736,85,451,0.188470067,0,0,27.27272727,27.27272727
6,26.3,26,HDID-2,S38,531,19252,9/9/2019,M,3,4,,Parallel Rod,94,bb,2,Water,24.4,4.05,4.6,1020,3.8,1220,4.85,1420,6.1,0.55,1.05,1.25,2.3,3.558319672,6.793155738,8.087090164,14.8802459,,93,479,0.194154489,22.54098361,43.03278689,51.2295082,94.26229508
7,33.2,33,HS/Npt,G97.V29,1550,19213,8/1/2019,M,4,2,,Parallel Rod,133,cc,2,Water,322,3.2,4.1,1020,3.9,1220,5.1,1420,5.85,0.9,1.2,0.75,1.95,0.441223602,0.588298137,0.367686335,0.955984472,,43,449,0.095768374,2.795031056,3.726708075,2.329192547,6.055900621
8,30.4,30,HS/Npt,G97.V29,1505,19214,8/2/2019,F,4,2,,Parallel Rod,132,aa,2,EtOH,24.2,3.3,3.55,1020,3.4,1220,3.6,1420,4.05,0.25,0.2,0.45,0.65,1.630785124,1.304628099,2.935413223,4.240041322,1.80E-01,25,454,0.055066079,10.33057851,8.26446281,18.59504132,26.85950413
9,38.1,38,HS/Npt,G97.V29,1520,19211,7/30/2019,M,4,2,,Parallel Rod,135,cc,3,Water,24.3,4.2,5.05,1030,3.35,1230,4.1,1430,5.15,0.85,0.75,1.05,1.8,5.521851852,4.872222222,6.821111111,11.69333333,,48,431,0.11136891,34.97942387,30.86419753,43.20987654,74.07407407
10,28.3,28,HS/Npt,G97.V29,1501,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,3,Water,23.2,3.4,4.2,1030,3.7,1230,5.25,1430,6.5,0.8,1.55,1.25,2.8,5.443448276,10.54668103,8.505387931,19.05206897,,57,416,0.137019231,34.48275862,66.81034483,53.87931034,120.6896552
11,38.2,38,HS/Npt,G97.V29,1520,19211,7/30/2019,M,4,2,,Parallel Rod,135,aa,3,EtOH,26.1,3.55,3.75,1030,3.5,1230,3.8,1430,4.05,0.2,0.3,0.25,0.55,1.209655172,1.814482759,1.512068966,3.326551724,1.46E-01,77,461,0.1670282,7.662835249,11.49425287,9.578544061,21.07279693
12,22.1,22,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,3,EtOH,20.7,3.6,4.1,1030,3.2,1230,3.65,1430,4.2,0.5,0.45,0.55,1,3.813043478,3.43173913,4.194347826,7.626086957,2.87012,114,455,0.250549451,24.15458937,21.73913043,26.57004831,48.30917874
13,13.3,13,HDID-1,S43.G47,505,19250,9/7/2019,M,3,2,,Parallel Rod,96,aa,4,Water,25,3.8,4.5,1040,3.2,1240,3.9,1440,4.6,0.7,0.7,0.7,1.4,4.42008,4.42008,4.42008,8.84016,,78,425,0.183529412,28,28,28,56
14,13.1,13,HDID-1,S43.G47,505,19250,9/7/2019,M,3,2,,Parallel Rod,96,bb,4,EtOH,25,3.1,3.6,1040,3.9,1240,4.3,1440,4.95,0.5,0.4,0.65,1.05,3.1572,2.52576,4.10436,6.63012,2.48354,74,433,0.170900693,20,16,26,42
15,9.1,9,HDID-1,S43.G46,507,19245,9/2/2019,M,3,3,,Parallel Rod,101,aa,4,EtOH,21.9,3.5,4.05,1040,3.25,1240,3.8,1440,4.3,0.55,0.55,0.5,1.05,3.964520548,3.964520548,3.604109589,7.568630137,2.91184,107,521,0.20537428,25.11415525,25.11415525,22.83105023,47.94520548
16,20.1,20,HDID-2,S38,521,19252,9/9/2019,F,5,4,,Parallel Rod,94,aa,4,Water,17.4,3.3,4.3,1040,3.8,1240,4.55,1440,5.4,1,0.75,0.85,1.6,9.072413793,6.804310345,7.711551724,14.51586207,,177,384,0.4609375,57.47126437,43.10344828,48.85057471,91.95402299
17,38.3,38,HS/Npt,G97.V29,1520,19211,7/30/2019,M,4,2,,Parallel Rod,135,aa,5,Water,27.3,3.7,4.2,1050,3.2,1250,3.7,1450,4.75,0.5,0.5,1.05,1.55,2.891208791,2.891208791,6.071538462,8.962747253,,50,471,0.106157113,18.31501832,18.31501832,38.46153846,56.77655678
18,14.2,14,HDID-1,S43.G47,508,19250,9/7/2019,M,2,2,,Parallel Rod,96,cc,5,EtOH,22,3.3,3.9,1050,3.4,1250,3.4,1450,3.4,0.6,0,0,0,4.305272727,0,0,0,1.47E-01,36,475,0.075789474,27.27272727,0,0,0
19,37.1,37,HS/Npt,G97.V29,1522,19230,8/18/2019,M,3,2,,Parallel Rod,116,aa,5,EtOH,31.4,3.3,3.5,1050,3.5,1250,3.7,1450,4.15,0.2,0.2,0.45,0.65,1.005477707,1.005477707,2.262324841,3.267802548,3.42E-01,78,496,0.157258065,6.369426752,6.369426752,14.33121019,20.70063694
20,2.4,2,HDID-1,S43.G47,518x,19246,9/3/2019,F,5,2,,Parallel Rod,100,bb,5,Water,21.9,3.35,3.8,1050,3.2,1250,3.4,1450,4.1,0.45,0.2,0.7,0.9,3.24369863,1.441643836,5.045753425,6.48739726,,56,406,0.137931034,20.54794521,9.132420091,31.96347032,41.09589041
21,20.3,20,HDID-2,S38,521,19252,9/9/2019,F,5,4,,Parallel Rod,94,aa,6,EtOH,20,3.3,3.6,1010,3.55,1210,3.8,1410,4.3,0.3,0.25,0.5,0.75,2.3679,1.97325,3.9465,5.91975,1.67348,59,462,0.127705628,15,12.5,25,37.5
22,19.3,19,HDID-2,S37,523,19252,9/9/2019,F,3,5,,Parallel Rod,94,aa,6,Water,18.5,3.2,3.25,1010,3.7,1210,4.45,1410,5.1,0.05,0.75,0.65,1.4,0.426648649,6.39972973,5.546432432,11.94616216,,58,438,0.132420091,2.702702703,40.54054054,35.13513514,75.67567568
23,21.1,21,HDID-2,S38,531,19252,9/9/2019,F,2,4,,Parallel Rod,94,bb,6,EtOH,17.4,3.9,4.3,1010,3.7,1210,4,1410,4.6,0.4,0.3,0.6,0.9,3.628965517,2.721724138,5.443448276,8.165172414,2.48305,146,414,0.352657005,22.98850575,17.24137931,34.48275862,51.72413793
24,2.3,2,HDID-1,S43.G47,518x,19246,9/3/2019,F,5,2,,Parallel Rod,100,bb,6,Water,21.7,3.2,3.2,1010,3.6,1210,4.4,1410,5.35,0,0.8,0.95,1.75,0,5.819723502,6.910921659,12.73064516,,34,458,0.074235808,0,36.86635945,43.77880184,80.64516129
25,17.3,17,HDID-2,S38,527,19250,9/7/2019,F,5,3,,Parallel Rod,96,aa,7,Water,22,4.2,5.1,1020,3.6,1220,4.7,1420,6.25,0.9,1.1,1.55,2.65,6.457909091,7.893,11.12195455,19.01495455,,54,453,0.119205298,40.90909091,50,70.45454545,120.4545455
26,18.5,18,HDID-2,S38,529,19251,9/8/2019,F,5,3,,Parallel Rod,95,aa,7,Water,21.4,3.9,6.7,1020,3.4,1220,4.55,1420,5.55,2.8,1.15,1,2.15,20.65457944,8.483130841,7.376635514,15.85976636,,52,464,0.112068966,130.8411215,53.73831776,46.72897196,100.4672897
27,5.1,5,HDID-1,S43.G47,508,19250,9/7/2019,F,1,2,,Parallel Rod,96,aa,7,EtOH,20.2,3.9,4.1,1020,3.3,1220,3.4,1420,4,0.2,0.1,0.6,0.7,1.562970297,0.781485149,4.688910891,5.47039604,2.1009,43,481,0.089397089,9.900990099,4.95049505,29.7029703,34.65346535
28,4.1,4,HDID-1,S43.G47,505,19250,9/7/2019,F,4,2,,Parallel Rod,96,aa,7,EtOH,21.3,3.7,4.2,1020,4.1,1220,4.2,1420,4.7,0.5,0.1,0.5,0.6,3.705633803,0.741126761,3.705633803,4.446760563,2.57509,64,445,0.143820225,23.4741784,4.694835681,23.4741784,28.16901408
