Order,ID,Strain,Family,Sex,Timepoint,Pass,Weight,Dose,Inj. Time,Blood Time,Color,BEC,TIMEHOUR,
1,29.1,iHDID-2,IB557,F,180,A,21.5,0.34,00:00:00,03:00:00,Dilute Brown,0,3,
2,2.4,iHDID-1,IB504.A,F,180,A,21.8,0.35,00:02:00,03:02:00,White,0.339888,3,
3,15.3,iHDID-1,IB504.K,M,180,A,26.2,0.41,00:04:00,03:04:00,White,0.626836,3,
4,17.3,iHDID-1,IB504.D(2),M,180,A,27.3,0.44,00:06:00,03:06:00,White,1.11792,3,
5,47.2,HS/Npt,1546,F,180,A,27.7,0.44,00:08:00,03:08:00,Black,1.01803,3,
6,22.2,iHDID-2,IB529B(3),F,180,A,22.2,0.35,00:10:00,03:10:00,Brown,0,3,
7,31.2,iHDID-2,IB529B(2),M,180,A,27,0.43,00:12:00,03:12:00,Black,0.496287,3,
8,6.1,iHDID-1,IB504.D(2),F,180,A,20.7,0.32,00:14:00,03:14:00,White,0.394125,3,
9,11.1,iHDID-1,IB504.A,M,180,A,26.5,0.42,00:16:00,03:16:00,White,1.61224,3,
10,24.2,iHDID-2,IB534B(3),F,180,A,23,0.36,00:18:00,03:18:00,Dilute Brown,0.352135,3,
11,8.2,iHDID-1,IB504.D(2),F,180,A,21.3,0.34,00:20:00,03:20:00,White,0.658458,3,
12,27.1,iHDID-2,IB529B(2),F,180,A,18.7,0.29,00:22:00,03:22:00,Brown,0.369176,3,
13,38.2,iHDID-2,IB552,M,180,A,28.6,0.45,00:24:00,03:24:00,Black,2.01427,3,
14,20.1,iHDID-2,IB534B(2),F,180,A,21.2,0.33,00:26:00,03:26:00,Dilute Brown,0.276905,3,
15,53.3,HS/Npt,1534,M,180,A,25.7,0.4,00:28:00,03:28:00,Black,0.558345,3,
16,36.2,iHDID-2,IB529B,M,180,A,27.5,0.44,00:30:00,03:30:00,Black,0.979655,3,
17,42.4,HS/Npt,1541,F,180,A,26.6,0.42,00:32:00,03:32:00,Black,0.987388,3,
18,9.4,iHDID-1,IB504.F,M,180,A,27.8,0.44,00:34:00,03:34:00,White,0.913309,3,
19,41.1,iHDID-2,IB557,M,180,A,23.5,0.37,00:36:00,03:36:00,Dilute Brown,0.610818,3,
20,44.3,HS/Npt,1534,F,180,A,20.2,0.32,00:38:00,03:38:00,Brown,0.607484,3,
21,54.5,HS/Npt,1538,M,180,A,29.2,0.46,00:40:00,03:40:00,Black,1.56633,3,
22,50.1,HS/Npt,1541,M,180,A,28.4,0.45,00:42:00,03:42:00,Black,1.03819,3,
23,51.4,HS/Npt,1527,M,180,A,28.7,0.45,00:44:00,03:44:00,Black,0.743229,3,
24,33.3,iHDID-2,IB558,M,180,A,30.7,0.48,00:46:00,03:46:00,Brown,1.28723,3,
25,57.1,HS/Npt,1509,M,180,A,28,0.44,00:48:00,03:48:00,Black,1.03888,3,
26,48.3,HS/Npt,1542,F,180,A,25.2,0.4,00:50:00,03:50:00,Black,1.36035,3,
27,45.4,HS/Npt,1538,F,180,A,22,0.35,00:52:00,03:52:00,Black,1.13583,3,
28,1.3,iHDID-1,IB504.E(2),F,180,A,18,0.29,00:54:00,03:54:00,White,1.36301,3,
29,13.4,iHDID-1,IB504.K,M,180,A,23.4,0.37,00:56:00,03:56:00,White,1.12182,3,
30,4.1,iHDID-1,IB504.K,F,180,A,23.7,0.37,00:58:00,03:58:00,White,0.903542,3,
31,48.5,HS/Npt,1542,F,120,A,27.6,0.44,01:00:00,03:00:00,Black,3.17758,2,
32,5.3,iHDID-1,IB504.K,F,120,A,21.2,0.33,01:02:00,03:02:00,White,2.32034,2,
